"","kingdom","phylum","class","order","family","genus","species"
"74","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cremicolor"
"75","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neostagonospora","unidentified"
"77","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","unidentified","unidentified"
"78","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae","Sclerococcum","unidentified"
"81","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","unidentified"
"82","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","unidentified"
"83","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","unidentified"
"84","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Paracladophialophoraceae","unidentified","unidentified"
"85","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula nigrifacta"
"87","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","Clohesyomyces","Clohesyomyces aquaticus"
"88","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","Hebeloma sinapizans"
"89","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","unidentified"
"91","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron pilicola"
"93","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Pleotrichocladium","Pleotrichocladium opacum"
"94","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia tsunedae"
"96","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita shennongjiana"
"97","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","Trichocladium crispatum"
"99","Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus","Astraeus telleriae"
"103","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita rubescens"
"104","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","unidentified"
"105","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","unidentified","unidentified"
"106","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula globispora"
"108","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula changbaiensis"
"110","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma aeria"
"111","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Byssocorticium atrovirens"
"112","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Humaria","Humaria hemisphaerica"
"113","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria subcucurbitae"
"114","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","unidentified"
"116","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula grisea"
"117","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","unidentified"
"118","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum","Hydnum ibericum"
"122","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula romellii"
"123","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius trivialis"
"125","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus yukishiro"
"126","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","unidentified","unidentified"
"127","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","unidentified","unidentified"
"128","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus cossus"
"130","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula violacea"
"132","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","unidentified"
"133","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius livido-ochraceus"
"134","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia polymorpha"
"135","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula atropurpurea"
"137","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Filobasidiella","unidentified"
"139","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius castaneopallidus"
"140","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora novozelandica"
"141","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unidentified","unidentified","unidentified"
"142","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron","Auxarthron umbrinum"
"143","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium tricinctum"
"144","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces","unidentified"
"145","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Thelebolus","unidentified"
"146","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","Leohumicola minima"
"148","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","unidentified"
"149","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria araneosa"
"151","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","unidentified"
"152","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","unidentified","unidentified"
"153","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum","Hydnum repandum"
"158","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula vinosobrunnea"
"159","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus anzutake"
"161","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Spiromastix","unidentified"
"163","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia flanaganii"
"166","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Paracladophialophoraceae","Paracladophialophora","Paracladophialophora carceris"
"167","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Cuphophyllus","Cuphophyllus virgineus"
"168","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","unidentified"
"169","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","unidentified"
"170","Fungi","Ascomycota","Eurotiomycetes","unidentified","unidentified","unidentified","unidentified"
"172","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis nigrescens"
"173","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora terrestris"
"174","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","Clavulinopsis trigonospora"
"176","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma spirale"
"177","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis changbaiensis"
"178","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","Lecythophora canina"
"179","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe amblyospora"
"183","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius uraceonemoralis"
"184","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium citreonigrum"
"185","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus tennesseensis"
"186","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius chrysorrheus"
"187","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","unidentified","unidentified"
"189","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula risigallina"
"190","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella verticillata"
"191","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina dimitica"
"194","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia peltigerae"
"195","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sublilacina"
"197","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica"
"199","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium subspirilliferum"
"200","Fungi","Ascomycota","Leotiomycetes","Thelebolales","unidentified","unidentified","unidentified"
"202","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","unidentified"
"203","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","unidentified","unidentified","unidentified"
"204","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella badioincrustata"
"205","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe subnudipes"
"208","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unidentified"
"210","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Membranomyces","unidentified"
"211","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unidentified"
"212","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Cistella","unidentified"
"214","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula delica"
"216","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","unidentified","unidentified"
"217","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma terricola"
"219","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus cinereus"
"221","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma hamatum"
"222","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora chaetospira"
"226","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","Pseudeurotium hygrophilum"
"227","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Varicellaria","unidentified"
"231","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","unidentified"
"232","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella lateritia"
"233","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron majus"
"234","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","unidentified"
"235","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber borchii"
"240","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","unidentified"
"241","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella terrestris"
"242","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Bimuria","Bimuria novae-zelandiae"
"243","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Coprinus","Coprinus comatus"
"246","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula decipiens"
"254","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","unidentified"
"255","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta vineae"
"256","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Chalara","unidentified"
"257","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia gamsii"
"260","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces","Geomyces auratus"
"261","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia procaviae"
"262","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus","Lactifluus volemus"
"263","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula inamoena"
"264","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified"
"265","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Helvellosebacina","unidentified"
"266","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps chlamydosporia"
"269","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","unidentified","unidentified"
"271","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe asterospora"
"272","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Penicillaginaceae","Penicillago","Penicillago nodositata"
"273","Fungi","Ascomycota","Leotiomycetes","Helotiales","Calloriaceae","Polyphilus","unidentified"
"274","Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus","Astraeus hygrometricus"
"279","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Laburnicola","unidentified"
"281","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Pidoplitchkoviella","Pidoplitchkoviella terricola"
"282","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Imperator","Imperator luteocupreus"
"285","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella fuscocinerea"
"292","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae","Conlarium","unidentified"
"293","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina incrustans"
"297","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila minutissima"
"304","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista","Bovista plumbea"
"307","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula azurea"
"308","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Arnium","unidentified"
"309","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora floridana"
"311","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Polyschema","unidentified"
"312","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Suillellus","Suillellus queletii"
"313","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium globosum"
"318","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium canescens"
"321","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula graveolens"
"322","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unidentified"
"323","Fungi","Ascomycota","Sordariomycetes","Sordariales","Bombardiaceae","Ramophialophora","unidentified"
"324","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius decipiens"
"326","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","unidentified"
"327","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita pantherina"
"328","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe fraudans"
"331","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma clypeatum"
"334","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Latoruaceae","unidentified","unidentified"
"336","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Leucoinocybe","unidentified"
"338","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiales_fam_Incertae_sedis","Atractospora","unidentified"
"340","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Vaginatispora","unidentified"
"345","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","unidentified"
"349","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","Sporormiella intermedia"
"353","Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","unidentified","unidentified"
"358","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Phlegmacium","Phlegmacium scaurocaninum"
"359","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe umbrinella"
"360","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus","Lactifluus piperatus"
"369","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","unidentified"
"370","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Rasamsonia","unidentified"
"371","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula violeipes"
"373","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Pseudosigmoidea","unidentified"
"374","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomus","Xerocomus subtomentosus"
"375","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe pseudorubens"
"378","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","unidentified","unidentified"
"380","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Boletopsis","unidentified"
"381","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","unidentified","unidentified","unidentified"
"383","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina","Macrophomina phaseolina"
"384","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula minutula"
"388","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora clausa"
"390","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","unidentified","unidentified"
"391","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","unidentified"
"394","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","unidentified","unidentified"
"395","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora rubicola"
"397","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Enterocarpus","Enterocarpus grenotii"
"398","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus","unidentified"
"399","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus arhizus"
"402","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia zychae"
"406","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe minimispora"
"407","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber gennadii"
"409","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella pallidocastanea"
"410","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","unidentified"
"415","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Coleophoma","unidentified"
"418","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia pullulans"
"426","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Hymenogaster griseus"
"428","Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","unidentified"
"429","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora atra"
"430","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tarzettaceae","Tarzetta","unidentified"
"431","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","unidentified"
"434","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium pullulans"
"437","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius persimilis"
